word1	word2
able	unable
abnormal	normal
absent	present
abundance	scarcity
abundant	scarce
accuracy	inaccuracy
affirmation	reversal
age	rejuvenate
agonist	antagonist
agreement	disagreement
align	skew
alternate	opposite
ambiguous	unambiguous
ambitious	unambitious
anabolism	catabolism
angular	rounded
anterograde	retrograde
aperiodic	periodic
appear	disappear
appearance	disappearance
armed	unarmed
arming	disarming
arrive	leave
artful	artless
articulate	inarticulate
ashamed	unashamed
assent	dissent
attack	defend
attractive	repulsive
augmentation	diminution
backward	forward
bad	good
beginning	ending
best	worst
blind	sighted
bloodless	bloody
bottom	top
bound	unbound
bright	dull
busy	idle
cardinal	ordinal
centralized	decentralized
certainty	uncertainty
change	stay
charged	uncharged
child	parent
clarity	obscurity
clear	opaque
coherence	incoherence
comparable	incomparable
complete	incomplete
compliance	noncompliance
comprehensible	incomprehensible
concentric	eccentric
conformity	nonconformity
conserve	waste
consistency	inconsistency
continuation	discontinuation
continuity	discontinuity
contracted	expanded
controlled	uncontrolled
controversial	uncontroversial
conventionally	unconventionally
convergence	divergence
cortex	medulla
counterfeit	genuine
cover	uncover
daughter	son
decode	encode
decrease	increase
defend	prosecute
demote	promote
dependent	independent
desegregate	segregate
desirable	undesirable
determined	undetermined
diluted	undiluted
diploid	haploid
diploid	polyploid
directional	omnidirectional
dishonesty	honesty
dishonorably	honorably
disliked	liked
disobedience	obedience
dissatisfaction	satisfaction
diversify	specialize
domestic	foreign
downstream	upstream
early	late
east	west
easterly	westerly
edible	inedible
efficiency	inefficiency
efficient	inefficient
egress	ingress
eligible	ineligible
empty	fill
existent	nonexistent
expected	unexpected
experienced	inexperienced
explicit	implicit
express	local
external	internal
fairly	unfairly
fat	thin
flatten	sharpen
flattering	unflattering
flexible	inflexible
folly	wisdom
forbid	permit
funded	unfunded
generic	varietal
gradual	sudden
happiness	unhappiness
hateful	lovable
head	rear
here	there
heterogeneity	homogeneity
highland	lowland
hopefully	hopelessly
host	parasite
husband	wife
illegal	legal
illegible	legible
illicit	licit
immobility	mobility
immorality	morality
impersonal	personal
impure	pure
indoors	outdoors
inhabited	uninhabited
inpatient	outpatient
inside	outside
inspiring	uninspiring
instrumental	vocal
intelligence	stupidity
intermediate	terminal
invisible	visible
irrational	rational
irreligious	religious
legato	staccato
linear	nonlinear
linger	rush
loading	unloading
lose	profit
lower	raise
lowered	raised
manageable	unmanageable
masochist	sadist
maxi	mini
maximal	minimal
maximization	minimization
meaningful	meaningless
mental	physical
mistrust	trust
moonless	moonlit
moved	unmoved
multiply	singly
natural	sharp
new	worn
no	some
nonprofessional	professional
nonviolent	violent
normal	paranormal
objective	subjective
objectively	subjectively
oblique	parallel
obscurity	prominence
offstage	onstage
passing	running
penalty	reward
popular	unpopular
preparation	resolution
productive	unproductive
profound	superficial
profundity	superficiality
protected	unprotected
punitive	rehabilitative
purge	rehabilitate
qualified	unqualified
reasonably	unreasonably
related	unrelated
reliability	unreliability
restful	restless
rise	set
roughness	smoothness
scripted	unscripted
sealed	unsealed
seedless	seedy
silence	sound
smart	stupid
start	stop
structured	unstructured
tasteful	tasteless
tender	tough
touched	untouched
troubled	untroubled
unwary	wary
wane	wax
worth	worthlessness
