word1	word2
abbot	archimandrite
accelerate	speed
achievable	manageable
add	adhd
airship	dirigible
align	ordinate
alternate	switch
antagonist	opponent
apologize	rationalise
appear	look
appraise	value
arch	patronising
argument	line
arid	desiccated
ascertain	see
ass	fanny
associate	companion
atonement	satisfaction
attack	flak
backbone	guts
backbone	linchpin
baffling	elusive
balusters	handrail
barrack	jeer
bastard	shit
beat	quiver
beginning	first
besotted	soaked
beverage	drinkable
bloodless	livid
blossoming	flowering
bother	chafe
bound	destined
bound	indentured
bound	rebound
break	breaking
broody	pondering
bum	butt
butterfly	mash
buttocks	rear
candor	frankness
canute	knut
cerebral	intellectual
chahta	choctaw
clams	scratch
clergyman	reverend
competitive	militant
complete	terminated
conclusion	end
conserve	husband
conserves	preserve
consider	moot
constant	invariant
continuity	persistence
contraption	contrivance
cortex	pallium
cosmonaut	spaceman
cover	plow
cursor	pointer
dangerous	unsafe
darned	infernal
dazed	stupid
dead	utter
deafening	thunderous
decline	wane
degenerate	devolve
demolition	wipeout
deplorable	pitiful
depressed	dispirited
devilish	diabolical
dig	shaft
dinghy	rowboat
dismissal	sack
displace	preempt
domestic	domesticated
double	image
draw	trace
drift	err
drooping	weeping
duet	yoke
easter	easterly
effected	established
eggshell	shell
egress	emergence
elaborate	expand
elapse	lapse
eloquence	smoothness
empower	invest
exit	release
expiration	termination
extrapolate	infer
fain	lief
fairly	reasonably
farmland	tillage
felicity	happiness
felt	mat
fiery	impassioned
flip	twitch
flow	run
flustered	perturbed
flyover	overpass
forbid	veto
form	phase
frown	lower
fulfil	satisfy
furthest	utmost
gauzy	sheer
generalize	infer
gens	name
gin	snare
glum	sullen
golden	lucky
graven	sculpted
hardness	rigour
hence	so
hired	leased
howl	howling
humble	low
humiliation	mortification
hunt	run
hybridize	interbreed
impersonal	neutral
impure	unclean
incomprehensible	inexplicable
inconsistency	repugnance
individually	singly
ineffectual	unable
ingrained	planted
innovator	pioneer
integrated	structured
interior	internal
jet	sooty
jfk	kennedy
king	tycoon
lead	leave
lesbos	mytilene
light	tripping
linger	loaf
loath	loth
located	situated
loom	tower
maine	me
mark	mug
mark	sucker
meddling	tampering
menace	peril
mini	miniskirt
minute	moment
miscarriage	stillbirth
mote	speck
moveable	transportable
navigation	sailing
notability	notable
nurture	parent
nut	testis
obedience	obeisance
obviously	patently
occasional	periodic
occlusion	stop
opaque	unintelligible
pane	panelling
parcel	share
pig	slob
plunge	steep
predicament	quandary
pro	professional
purge	vomit
quiet	unruffled
real	substantial
regress	retrograde
require	take
resinous	tarry
resolution	resolve
revealing	telling
review	survey
ribonuclease	rnase
roll	vagabond
secure	untroubled
serb	serbian
shallowness	superficiality
slew	spate
sluggish	sulky
splendor	splendour
superficial	trivial
test	try
threesome	triplet
timberland	woodland
timekeeper	timer
topmost	uppermost
twinkle	winkle
unaffected	unmoved
unaffected	untouched
unambiguous	unequivocal
unchained	unfettered
undetermined	unresolved
unforced	willing
unjustifiable	unwarranted
upriver	upstream
w	west
whiskered	whiskery
